Table,Column,Match
,LAST_PAY_DATE,-[fibo:hasPaymentHistory]-> (fibo:PaymentHistory) -[fibo:hasIndividualPayment]-> (fibo:IndividualPaymentTransaction) -[fibo:hasTransactionDate]-> (fibo:TransactionDate) -[fibo:hasDateValue]-> (VALUE)
,LAST_SETT_COMB_STATUS_ID,-[fibo:hasOccurrence]-> (fibo:SettlementEvent) -[efs:has_last_sett_comb_status_id_VALUE]-> (VALUE)
,,
settle_plan,,SettlementTerms
,APPROVAL_METHOD,-[efs:has_approval_method_VALUE]-> (VALUE)
,MAX_PTP_AMOUNT_MAX_ACCEPTED,-[fibo:hasApprovedAmount]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
,SETTLEMENT_PLAN_TYPE,-[efs:has_settlement_plan_type_VALUE]-> (VALUE)
,MAX_FIRST_PTP_DIST_WARNING,-[efs:has_max_first_ptp_dist_warning_VALUE]-> (VALUE)
,MAX_PLAN_DUR_WARNING,-[fibo:hasDuration]-> (fibo:Duration) -[fibo:hasDurationValue]-> (VALUE)
,MIN_PTP_DIST_WARNING,-[efs:has_min_ptp_dist_warning_VALUE]-> (VALUE)
,MAX_PTPS_MAX_ACCEPTED,-[fibo:hasAnticipatedNumberOfPayments]-> (VALUE)
,DATEUPDATED,-[fibo:hasExplicitDate]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,MAX_FIRST_PTP_DIST_ACCEPTED,-[efs:has_max_first_ptp_dist_accepted_VALUE]-> (VALUE)
,MAX_PTP_AMOUNT_WARNING,-[fibo:hasDefaultThresholdAmount]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
,USERUPDATED,-[efs:has_userupdated]-> (fibo:LegalAgent) -[efs:has_userupdated_VALUE]-> (VALUE)
,MIN_PTP_DIST_MIN_ACCEPTED,-[efs:has_min_ptp_dist_min_accepted_VALUE]-> (VALUE)
,DESCRIPTION,-[fibo:hasDescription]-> (VALUE)
,MINIMUM_INTEREST_RATE_WARNING,-[fibo:hasFloatingRateFloor]-> (fibo:FloatingInterestRate) -[fibo:hasRateValue]-> (VALUE)
,MAX_PTP_DIST_MAX_ACCEPTED,-[efs:has_max_ptp_dist_max_accepted_VALUE]-> (VALUE)
,MAX_PLAN_DUR_MAX_ACCEPTED,-[fibo:hasDuration]-> (fibo:Duration) -[fibo:hasDurationValue]-> (VALUE)
,INTEREST_RATE,-[fibo:hasInterestRate]-> (fibo:InterestRate) -[fibo:hasRateValue]-> (VALUE)
,MAX_PTPS_WARNING,-[fibo:hasAnticipatedNumberOfPayments]-> (VALUE)
,WARN_AMOUNT_PERCENTAGE,-[efs:has_warn_amount_percentage]-> (fibo:PercentageMonetaryAmount) -[fibo:hasNumericValue]-> (VALUE)
,MINIMUM_INTEREST_RATE_ERROR,-[fibo:hasFloatingRateFloor]-> (fibo:FloatingInterestRate) -[fibo:hasRateValue]-> (VALUE)
,MAX_PTP_DIST_WARNING,-[efs:has_max_ptp_dist_warning_VALUE]-> (VALUE)
,NAME_,-[fibo:hasName]-> (fibo:Name) -[fibo:hasTag]-> (VALUE)
,,
